00004B,0
000090,113
0000C0,0
0000D0,144
0000DF,124
000181,84
0001FF,0
0003C6,96
000608,23
0008B1,0
000A19,0
000A74,0
000AE0,121
000EC0,0
001080,12
0010A0,77
0011AA,28
00150B,0
00161D,0
0017A3,0
001886,0
0019C8,0
0019E0,80
001A4C,39
001A99,0
001B22,26
002050,26
0020C0,85
0020CB,0
0020E0,125
0021B0,46
00227F,19
002310,0
002497,30
002A14,52
002C82,61
002CA6,0
002D4B,217
002DE6,88
002E9B,35
002EF0,0
003051,101
003080,62
0030A0,0
0030C0,70
0031D6,48
003439,0
003582,32
003689,33
003BF5,0
003C0A,0
003D07,167
003D10,0
003DC2,128
003E09,112
003E6F,0
004080,0
004090,0
0040DF,85
004160,0
0044D7,0
00476A,29
004935,34
004B8C,0
005000,127
0050A0,59
0051E1,13
005214,0
005339,126
0054BE,0
005594,0
0055C8,0
0055D7,21
0056D2,0
0057EE,0
005A0F,0
005C29,0
005C93,0
005ED2,0
006000,0
006045,0
006080,143
0060C0,0
0062B6,40
006306,0
0063DE,0
0063F0,0
006422,147
0064C5,0
0065FA,0
0066B6,0
00684B,0
006991,0
006A4F,32
006BF0,27
006D72,0
006D9C,0
006FF6,45
007001,34
007035,0
007040,36
007060,80
0070C0,70
00749D,0
0075FC,0
007602,67
007644,32
0076E6,33
007814,0
0078F4,134
0079C0,64
007B10,48
007CB1,74
007E00,0
008050,0
0080B0,0
0080D0,0
008174,81
00821E,128
008396,0
0084E2,0
0085FA,0
008796,0
00879A,29
0087C9,116
008A0A,0
008BB6,0
008C72,44
008EC3,0
008FBF,60
009000,25
009020,88
009080,40
00908F,0
0090A0,29
009230,0
009619,0
00978B,0
009AFB,87
009C77,0
009EB7,16
009F47,0
009F60,101
00A000,31
00A040,80
00A080,125
00A0A0,67
00A0C0,101
00A20A,77
00A2A2,0
00A505,0
00A7F4,15
00A88F,149
00AA38,0
00AB77,0
00AF40,0
00AFDF,20
00B001,29
00B021,0
00B040,38
00B080,58
00B0A0,43
00B0A9,0
00B0C0,76
00B0DF,64
00B487,0
00B4D8,53
00B4F8,0
00B5FE,96
00B95C,52
00BAC5,0
00BADA,0
00BE56,16
00BFDF,86
00C060,97
00C090,0
00C0B0,0
00C30A,0
00C508,0
00C558,0
00CA87,0
00CB48,48
00CB4F,0
00CB99,67
00CEAE,0
00CFFC,0
00D000,30
00D020,44
00D080,152
00D28C,0
00D336,14
00D487,0
00D6BF,19
00D7F5,80
00DA3C,204
00DBA3,0
00DBCD,0
00DFF0,36
00E000,135
00E0A0,101
00E0DC,0
00E170,16
00E2A7,44
00E2C3,35
00E3EF,48
