00004B,Flatlands
000090,Plateau
0000C0,Flatlands
0000D0,High Mountains
0000DF,Flatlands
000181,Flatlands
0001FF,Wetlands
0003C6,High Mountains
000608,Mountainous
0008B1,Mountainous
000A19,Water
000A74,Flatlands
000AE0,Flatlands
000EC0,Water
001080,High Mountains
0010A0,Irregular Plateau
0011AA,High Mountains
00150B,Water
00161D,Impassable
0017A3,Wetlands
001886,Flatlands
0019C8,Irregular Plateau
0019E0,Plateau
001A4C,Flatlands
001A99,Flatlands
001B22,Mountainous
002050,Flatlands
0020C0,Flatlands
0020CB,Flatlands
0020E0,Flatlands
0021B0,Flatlands
00227F,Rolling Flatlands
002310,Rolling Flatlands
002497,Flatlands
002A14,Flatlands
002C82,Flatlands
002CA6,Water
002D4B,Flatlands
002DE6,Irregular Plateau
002E9B,Flatlands
002EF0,Water
003051,Flatlands
003080,Irregular Plateau
0030A0,Mountainous
0030C0,Flatlands
0031D6,Flatlands
003439,Water
003582,Impassable
003689,Irregular Plateau
003BF5,Flatlands
003C0A,High Mountains
003D07,Flatlands
003D10,Plateau
003DC2,Water
003E09,Water
003E6F,Flatlands
004080,Hills
004090,Flatlands
0040DF,Flatlands
004160,Water
0044D7,Hills
00476A,Mountainous
004935,Rolling Flatlands
004B8C,Rolling Flatlands
005000,Irregular Plateau
0050A0,Flatlands
0051E1,Flatlands
005214,Flatlands
005339,Flatlands
0054BE,Flatlands
005594,Flatlands
0055C8,Water
0055D7,Rolling Flatlands
0056D2,Flatlands
0057EE,Mountainous
005A0F,Flatlands
005C29,Mountainous
005C93,Mountainous
005ED2,Flatlands
006000,Flatlands
006045,Flatlands
006080,Mountainous
0060C0,Mountainous
0062B6,Irregular Plateau
006306,Flatlands
0063DE,Flatlands
0063F0,Plateau
006422,Flatlands
0064C5,Flatlands
0065FA,Flatlands
0066B6,Water
00684B,Water
006991,Mountainous
006A4F,Impassable
006BF0,Mountainous
006D72,Flatlands
006D9C,Water
006FF6,Flatlands
007001,Flatlands
007035,High Mountains
007040,Water
007060,Rolling Flatlands
0070C0,Flatlands
00749D,Rolling Flatlands
0075FC,Flatlands
007602,Flatlands
007644,Irregular Plateau
0076E6,Flatlands
007814,Flatlands
0078F4,Flatlands
0079C0,Irregular Plateau
007B10,Flatlands
007CB1,Mountainous
007E00,Flatlands
008050,Flatlands
0080B0,Flatlands
0080D0,Flatlands
008174,Mountainous
00821E,Irregular Plateau
008396,Flatlands
0084E2,Water
0085FA,Flatlands
008796,Water
00879A,Flatlands
0087C9,Flatlands
008A0A,Mountainous
008BB6,Water
008C72,Mountainous
008EC3,Flatlands
008FBF,Water
009000,Irregular Plateau
009020,Plateau
009080,High Mountains
00908F,Flatlands
0090A0,Mountainous
009230,Flatlands
009619,Water
00978B,Flatlands
009AFB,Flatlands
009C77,Mountainous
009EB7,Flatlands
009F47,Flatlands
009F60,Flatlands
00A000,Rolling Flatlands
00A040,Flatlands
00A080,Flatlands
00A0A0,Flatlands
00A0C0,Flatlands
00A20A,Mountainous
00A2A2,Water
00A505,Water
00A7F4,Rolling Flatlands
00A88F,Mountainous
00AA38,Flatlands
00AB77,Plateau
00AF40,Flatlands
00AFDF,Flatlands
00B001,Flatlands
00B021,Flatlands
00B040,Flatlands
00B080,Mountainous
00B0A0,Flatlands
00B0A9,Mountainous
00B0C0,Mountainous
00B0DF,Flatlands
00B487,Irregular Plateau
00B4D8,Flatlands
00B4F8,Water
00B5FE,Flatlands
00B95C,Mountainous
00BAC5,Water
00BADA,Flatlands
00BE56,Flatlands
00BFDF,Flatlands
00C060,Flatlands
00C090,Impassable
00C0B0,Flatlands
00C30A,Water
00C508,High Mountains
00C558,Water
00CA87,Water
00CB48,Flatlands
00CB4F,Flatlands
00CB99,Flatlands
00CEAE,Flatlands
00CFFC,Water
00D000,High Mountains
00D020,Plateau
00D080,Flatlands
00D28C,Mountainous
00D336,Mountainous
00D487,Water
00D6BF,Mountainous
00D7F5,Rolling Flatlands
00DA3C,Flatlands
00DBA3,Mountainous
00DBCD,Mountainous
00DFF0,Mountainous
00E000,Mountainous
00E0A0,Flatlands
00E0DC,Flatlands
00E170,Flatlands
00E2A7,Irregular Plateau
00E2C3,Flatlands
00E3EF,Irregular Plateau
00E448,Water
00E563,Water
00E669,Flatlands
00E694,Water
00E7D8,Water
00EC62,Mountainous
00ED15,Water
00EDB9,Flatlands
00EEEA,Flatlands
00F000,Flatlands
00F040,Flatlands
00F060,Flatlands
00F080,Flatlands
00F0C0,Rolling Flatlands
00F15A,Water
00F376,Flatlands
00F433,Flatlands
00F5CD,Flatlands
00F631,Mountainous
00F680,Flatlands
00F82C,Mountainous
00FADB,Water
00FBFB,Water
010112,Flatlands
01014E,Water
010401,Water
01043F,Flatlands
01084B,Plateau
01087A,Rolling Flatlands
0109E7,Water
010AD7,Mountainous
010B0C,Water
011074,Flatlands
0110CC,Mountainous
011141,Flatlands
0111C0,Flatlands
0111E0,Mountainous
01148C,Water
011713,Flatlands
0119AB,Flatlands
011A2F,Flatlands
011B9B,Mountainous
011D8E,Water
011E0F,Flatlands
012091,Mountainous
012169,Plateau
012190,Flatlands
0121A0,Flatlands
012580,Mountainous
01272B,Water
012DC1,Mountainous
012E20,Flatlands
0130E0,Flatlands
013159,Mountainous
01317D,Flatlands
0136A2,Flatlands
0137A1,Flatlands
01387D,Mountainous
013AEB,Flatlands
013B73,Hills
013D53,Water
013F18,Plateau
014042,Flatlands
0141A0,Flatlands
0141B0,Flatlands
0141D0,Flatlands
0145C2,Flatlands
014651,High Mountains
014759,Water
014AED,High Mountains
014B3F,Water
014B90,Mountainous
014D28,High Mountains
014F3C,Mountainous
015040,Water
015080,Flatlands
015121,Water
0153E3,Flatlands
0158AB,Flatlands
015B08,Water
015BE4,Water
015D3E,Rolling Flatlands
015D54,Flatlands
015F11,Flatlands
016011,Flatlands
016090,Flatlands
0160D0,Mountainous
016130,Flatlands
016161,Flatlands
0161A0,Flatlands
