00004B,Am
000090,Dfa
0000C0,ET
0000D0,Cfb
0000DF,Cfb
000181,Dfb
0001FF,Aw
0003C6,Cwb
000608,BSk
0008B1,BWh
000A19,EF
000A74,BWh
000AE0,BSk
000EC0,ET
001080,Dfb
0010A0,BSk
0011AA,Csb
00150B,ET
00161D,ET
0017A3,Dfc
001886,BWk
0019C8,ET
0019E0,Dwb
001A4C,BSk
001A99,BWh
001B22,Dfc
002050,Aw
0020C0,Dfb
0020CB,Dfc
0020E0,Dfb
0021B0,Cfa
00227F,Dwb
002310,Af
002497,Dfc
002A14,Dfc
002C82,Cfb
002CA6,Dfc
002D4B,Dfa
002DE6,BSk
002E9B,Dfc
002EF0,Dfc
003051,Dfc
003080,BSk
0030A0,BWk
0030C0,BSh
0031D6,Aw
003439,Dfc
003582,ET
003689,Cfb
003BF5,Am
003C0A,ET
003D07,Dfb
003D10,ET
003DC2,Dfc
003E09,W
003E6F,Am
004080,ET
004090,Af
0040DF,Cfb
004160,ET
0044D7,ET
00476A,Aw
004935,Dsb
004B8C,ET
005000,Dfb
0050A0,Csa
0051E1,Dfc
005214,Dfc
005339,Dfa
0054BE,BWh
005594,Aw
0055C8,Dfc
0055D7,Csa
0056D2,BWk
0057EE,BWh
005A0F,Dfc
005C29,Aw
005C93,BWh
005ED2,Am
006000,Dfc
006045,BSh
006080,Dfb
0060C0,Dfc
0062B6,BSk
006306,BWh
0063DE,BWh
0063F0,Dfc
006422,Dfb
0064C5,Dfc
0065FA,BWh
0066B6,Dfc
00684B,Dfc
006991,Dfc
006A4F,Dwb
006BF0,BSh
006D72,BWh
006D9C,Dfc
006FF6,Dfb
007001,BSh
007035,BWh
007040,W
007060,Dsb
0070C0,Cfa
00749D,Dwd
0075FC,Am
007602,Cfa
007644,Cwb
0076E6,Aw
007814,Dfd
0078F4,Cfa
0079C0,Dfc
007B10,Dfc
007CB1,Dwb
007E00,BWh
008050,Af
0080B0,Af
0080D0,Af
008174,Dfb
00821E,BWk
008396,Am
0084E2,Dsc
0085FA,BSh
008796,Dfc
00879A,BSh
0087C9,Dfb
008A0A,BWk
008BB6,Dfc
008C72,BSk
008EC3,BSh
008FBF,BWk
009000,Dfb
009020,Csa
009080,Dsb
00908F,Aw
0090A0,BSk
009230,Dfc
009619,Dfc
00978B,Dfc
009AFB,Dfb
009C77,BWh
009EB7,Dfc
009F47,BWh
009F60,Dfb
00A000,Dsb
00A040,Dfb
00A080,Cfa
00A0A0,Dfb
00A0C0,Dfb
00A20A,Dfb
00A2A2,Dwd
00A505,Dsc
00A7F4,Dfc
00A88F,BSk
00AA38,BWh
00AB77,Am
00AF40,Dfd
00AFDF,Dfb
00B001,BSh
00B021,BWh
00B040,Cfa
00B080,BSk
00B0A0,BSh
00B0A9,Aw
00B0C0,BSh
00B0DF,BSh
00B487,Dfc
00B4D8,Aw
00B4F8,Dfc
00B5FE,Dfc
00B95C,BSh
00BAC5,Dfc
00BADA,BWh
00BE56,BSh
00BFDF,Cfb
00C060,Cfb
00C090,Cfb
00C0B0,Aw
00C30A,Dfc
00C508,ET
00C558,ET
00CA87,Dsc
00CB48,Dfc
00CB4F,Dfc
00CB99,Dfb
00CEAE,Dfc
00CFFC,Dsc
00D000,Dsb
00D020,Csa
00D080,BSk
00D28C,BWk
00D336,BSk
00D487,Dfd
00D6BF,Aw
00D7F5,Af
00DA3C,Dfb
00DBA3,BWk
00DBCD,BWh
00DFF0,BSh
00E000,BSk
00E0A0,Dfb
00E0DC,BWk
00E170,BWk
00E2A7,BSk
00E2C3,Cfa
00E3EF,BWh
00E448,Dfc
00E563,ET
00E669,Aw
00E694,ET
00E7D8,ET
00EC62,Am
00ED15,Dfc
00EDB9,Aw
00EEEA,BWh
00F000,Cfa
00F040,Cfa
00F060,BWh
00F080,Cfa
00F0C0,Cfa
00F15A,Af
00F376,Dfc
00F433,Dfc
00F5CD,BWh
00F631,Dfc
00F680,BWh
00F82C,BWh
00FADB,ET
00FBFB,W
010112,BSh
01014E,ET
010401,ET
01043F,Dfc
01084B,Af
01087A,Aw
0109E7,Dfd
010AD7,Dfb
010B0C,Dfc
011074,Aw
0110CC,BWh
011141,Cfa
0111C0,BWk
0111E0,BWh
01148C,Dfd
011713,Dfc
0119AB,Dfc
011A2F,BWh
011B9B,BWh
011D8E,Dfc
011E0F,Am
012091,BWh
012169,Dfc
012190,Aw
0121A0,Dfb
012580,BWh
01272B,Dfc
012DC1,BWk
012E20,Dfc
0130E0,W
013159,Aw
01317D,Af
0136A2,Aw
0137A1,Dfb
01387D,Dfb
013AEB,Cfa
013B73,Cwb
013D53,Dfc
013F18,Dsc
014042,Dfc
0141A0,Cfb
0141B0,Af
0141D0,Aw
0145C2,BWk
014651,ET
014759,ET
014AED,ET
014B3F,ET
014B90,BWh
014D28,ET
014F3C,BWh
015040,BWk
015080,Dfa
015121,W
0153E3,Dfb
0158AB,Dfc
015B08,Dfc
015BE4,Dfc
015D3E,Dwc
015D54,Af
015F11,Aw
016011,Am
016090,Am
0160D0,Af
016130,Aw
016161,Dfb
0161A0,Dfb
0161E0,Dfb
016C07,Dfb
016ED3,Dfc
017021,BSk
0170A0,W
0170B1,BSh
0170E0,BSh
01735F,BWh
01774F,Dwd
017863,BWh
017C34,BWk
017E3C,Dfc
017E79,Dfc
017E90,Dfc
017ECB,ET
018061,Cfb
018070,Af
0180A0,Dfb
0180E0,Cfb
0180F0,W
0181B0,W
0183A1,Dfb
01871B,Dwc
0187D7,Dsb
01887B,Cfb
0189CE,Af
018A2A,Dwb
018E23,BSk
019041,Dfb
019043,W
0190E0,BWh
019127,W
019360,Dfc
0193AC,Dfc
0193B4,BWh
0193EB,Dwc
019470,ET
01950F,Dwb
019703,Dfc
0198DF,Dfc
0198EA,BWh
019C62,BWh
019D5F,Dfb
01A011,Aw
01A021,Dfb
01A050,Am
01A090,Aw
01A0B0,Af
01A0D0,Am
01A0E0,Dfc
01A126,Dfc
01A277,ET
01A2B7,BSh
01A63B,BWh
01AA98,Dfc
01ABEE,Dfc
01AF19,Dfc
01B060,BSk
01B101,BWh
01B1BE,Dfd
01B1E4,ET
01B2D8,Csa
01B2DF,Dfc
01B33D,Dfc
01B3D5,Af
01B53C,BWh
01B54E,ET
01BCE8,Aw
01BF32,Aw
01BF3A,BSk
01BF72,Dfb
01BFD0,Aw
01C030,W
01C0A0,Cfb
01C109,Cwb
01C4BC,Dfc
01C6DC,Aw
01C8C8,Dfb
01C975,Dsb
01CA2C,Af
01CB5D,Dsb
01CCC2,BWh
01CEDD,BWh
01D041,BSk
01D042,Dfb
01D060,Dsb
01D099,BWh
01D0A0,BSk
01D0B8,ET
01D0E0,Csa
01D4D4,BSh
01D6CB,BSh
01D8C5,BWh
01D94F,Aw
01DA65,Aw
01DAF2,Cwa
01DEC2,BWk
01DEC8,Dfc
01DFC8,Dfc
01E011,Aw
01E021,Dfb
01E050,Aw
01E061,Dfb
01E0C8,Dfc
01E0C9,BWh
01E0CA,Aw
01E0D0,Aw
01E0E0,Dfb
01E1C9,Cfa
01E1CA,BWh
01E1CB,BWh
01E950,BWh
01EA55,ET
01EB0A,Dfc
01EE15,BWh
01EFB4,Aw
01F020,BWh
01F0A0,BSh
01F0E0,BWh
01F1CD,Cwa
01F273,Aw
01F89E,Dfc
01F9C8,Dwd
01FB64,Af
01FD5F,Cfb
0204AB,BWh
02055B,Dwa
02061B,Cfb
02073E,Am
020839,W
0209AE,Dfc
020A13,ET
020CFE,Aw
020DF9,Dfb
020E07,Dwb
020E48,ET
020E64,Dfc
020F11,Dfa
0212BC,Dfa
0212F4,Dfb
021374,BSk
0214DF,Dfc
